Application ID/ Customer number,Loan No.,Branch,Loan Product,Principal mount,Loan release date,Repayment date,Total Cost,Total Repaid,Loan Interest,Initiation Fee,Penalties
K4001,1,Kiambu,SUPA FAST,"6000",3/8/2023,4/7/2023,7800,7800,1800,500,0
K4001,2,Kiambu,SUPA FAST,"6000",3/31/2023,4/30/2023,8160,2200,1800,0,1680
K4002,1,Kiambu,SUPA FAST,5000,3/11/2023,4/10/2023,6500,6500,1500,500,0
K4002,2,Kiambu,SUPA FAST,5000,3/31/2023,4/30/2023,6500,6501,1500,0,0
K4002,3,Kiambu,SUPA FAST,6000,4/29/2023,5/29/2023,7800,7800,1800,0,0
K4002,4,Kiambu,SUPA FAST,6000,5/24/2023,6/23/2023,7800,7800,1800,0,0
K4002,5,Kiambu,SUPA FAST,6000,6/16/2023,7/16/2023,7800,7800,1800,0,420
K4003,1,Kiambu,SUPA FAST,3000,3/16/2023,4/15/2023,3900,3900,900,500,180
K4003,2,Kiambu,SUPA FAST,3000,4/18/2023,5/18/2023,3900,3900,900,0,0
K4004,1,Kiambu,SUPA FAST,8000,3/16/2023,4/15/2023,10400,10400,2400,500,480
K4004,2,Kiambu,SUPA FAST,8000,4/14/2023,5/14/2023,"12,640",5900,2400,0,"2,240"
K4005,1,Kiambu,SUPA FAST,5000,3/17/2023,4/16/2023,6500,6500,1500,500,0
K4005,2,Kiambu,SUPA FAST,5000,4/12/2023,5/12/2023,7900,650,1500,0,1400
K4006,1,Kiambu,SUPA FAST,"10000",3/20/2023,4/19/2023,"13000","13,000","3,000",500,0
K4006,2,Kiambu,SUPA FAST,10000,4/18/2023,5/18/2023,"13,000","4,700",3000,0,"2,800"
K4007,1,Kiambu,SUPA FAST,5000,3/20/2023,4/19/2023,6500,6800,1500,500,300
K4008,1,Kiambu,SUPA FAST,5000,3/21/2023,4/20/2023,6500,6800,1500,500,300
K4009,1,Kiambu,SUPA FAST,10000,3/21/2023,4/20/2023,13000,13000,3000,500,0
K4009,2,Kiambu,SUPA FAST,10000,4/17/2023,5/17/2023,13000,13000,3000,0,0
K4009,3,Kiambu,SUPA FAST,10000,5/10/2023,6/9/2023,13600,13600,3000,0,600
K4009,4,Kiambu,SUPA FAST,10000,6/12/2023,7/12/2023,"13,600","13,600","3,000",0,600
K40010,1,Kiambu,SUPA FAST,10000,3/22/2023,4/21/2023,13000,13000,3000,500,600
K40010,2,Kiambu,SUPA FAST,10000,6/17/2023,7/17/2023,13600,0,3000,0,1600
K40011,1,Kiambu,SUPA FAST,5000,3/23/2023,4/22/2023,6500,6500,1500,500,0
K40011,2,Kiambu,SUPA FAST,10000,4/10/2023,5/10/2023,13600,8700,3000,0,2800
K40012,1,Kiambu,SUPA FAST,10000,3/24/2023,4/23/2023,13000,13000,3000,500,600
K40013,1,Kiambu,SUPA FAST,10000,3/25/2023,4/24/2023,13000,13000,3000,500,600
K40014,1,Kiambu,SUPA FAST,5000,3/25/2023,4/24/2023,6500,6500,1500,500,0
K40015,1,Kiambu,SUPA FAST,3000,3/25/2023,4/24/2023,3900,3900,900,500,0
K40015,2,Kiambu,SUPA FAST,3000,5/3/2023,6/2/2023,3900,3900,900,0,0
K40015,3,Kiambu,SUPA FAST,3000,5/19/2023,6/18/2023,3900,3900,900,0,0
K40015,4,Kiambu,SUPA FAST,4000,6/8/2023,7/8/2023,5440,5440,1200,0,240
K40015,5,Kiambu,SUPA FAST,4000,7/8/2023,8/7/2023,5200,0,1200,0,0
K40016,1,Kiambu,SUPA FAST,5000,3/28/2023,4/27/2023,6500,6500,1500,500,0
k40016,2,Kiambu,SUPA FAST,5000,4/13/2023,5/13/2023,6500,6500,1500,0,0
K40016,3,Kiambu,SUPA FAST,5000,5/10/2023,6/9/2023,6500,6500,1500,0,0
K40016,4,Kiambu,SUPA FAST,5000,6/7/2023,7/7/2023,6800,6800,1500,0,300
K40016,5,Kiambu,SUPA FAST,5000,7/11/2023,8/10/2023,6500,250,1500,0,0
K40017,1,Kiambu,SUPA FAST,3000,3/28/2023,4/27/2023,3900,3900,900,500,180
K40018,1,Kiambu,SUPA FAST,10000,3/30/2023,4/29/2023,13000,13000,3000,500,0
K40018,2,Kiambu,SUPA FAST,10000,5/2/2023,6/1/2023,13000,13000,3000,0,0
K40018,3,Kiambu,SUPA FAST,10000,5/30/2023,6/29/2023,13000,13000,3000,0,0
K40018,4,Kiambu,SUPA FAST,12000,6/26/2023,7/26/2023,15600,15600,3600,0,0
K40018,5,Kiambu,SUPA FAST,12000,7/24/2023,8/23/2023,15600,0,3600,0,0
K40019,1,Kiambu,SUPA FAST,10000,3/30/2023,4/29/2023,"13,600",13600,3000,500,600
K40020,1,Kiambu,SUPA FAST,10000,4/1/2023,5/1/2023,13000,13000,3000,500,0
K40020,2,Kiambu,SUPA FAST,10000,4/28/2023,5/28/2023,13000,13000,3000,0,0
K40020,3,Kiambu,SUPA FAST,10000,5/26/2023,6/25/2023,13000,13000,3000,0,0
K40020,4,Kiambu,SUPA FAST,10000,6/23/2023,7/23/2023,13000,13000,3000,0,0
K40021,1,Kiambu,SUPA FAST,8000,4/5/2023,5/4/2023,"10,880",6900,2400,500,480
K40022,1,Kiambu,SUPA FAST,10000,4/7/2023,5/7/2023,15800,500,3000,500,2800
K40023,1,Kiambu,SUPA FAST,5000,4/14/2023,5/14/2023,7300,7300,1500,500,800
K40024,1,Kiambu,SUPA FAST,6000,6/9/2023,7/6/2023,7800,7800,1800,500,0
K40025,1,Kiambu,SUPA FAST,4000,6/21/2023,7/21/2023,5200,4720,720,500,0
K0026,1,Kiambu,SUPA FAST,5000,6/21/2023,7/6/2023,6000,6000,1000,500,0
K0026,2,Kiambu,SUPA FAST,5000,7/10/2023,8/9/2023,6500,850,1500,0,0
K0027,1,Kiambu,SUPA FAST,10000,6/21/2023,7/21/2023,13600,13000,3000,500,600
K40028,1,Kiambu,SUPA FAST,10000,6/21/2023,7/21/2023,13000,13000,3000,500,0
K40028,2,Kiambu,SUPA FAST,10000,7/20/2023,8/19/2023,13000,0,3000,0,0
K40029,1,Kiambu,SUPA FAST,5000,6/22/2023,7/22/2023,6500,6500,1500,500,0
K40029,2,Kiambu,SUPA FAST,5000,7/21/2023,8/20/2023,6500,650,1500,0,0
K40030,1,Kiambu,SUPA FAST,5000,6/27/2023,7/27/2023,6500,6500,1500,500,0
K40030,2,Kiambu,SUPA FAST,5000,7/25/2023,8/24/2023,6500,425,1500,0,0
K40031,1,Kiambu,SUPA FAST,5000,6/30/2023,7/30/2023,7300,500,1500,500,800
K0032,1,Kiambu,SUPA FAST,5000,6/30/2023,7/30/2023,5800,5800,800,500,0
K0032,2,Kiambu,SUPA FAST,5000,7/10/2023,8/9/2023,6250,6250,1250,0,0
K0032,3,Kiambu,SUPA FAST,5000,8/2/2023,9/1/2023,6500,0,1500,0,0
K40033,1,Kiambu,SUPA FAST,6000,7/10/2023,8/9/2023,7800,1000,1800,500,0
K40034,1,Kiambu,SUPA FAST,6000,7/11/2023,8/10/2023,7800,722,1800,500,0
K40035,1,Kiambu,SUPA FAST,5000,7/11/2023,8/10/2023,6500,1830,1500,500,0
K40036,1,Kiambu,SUPA FAST,6000,7/13/2023,8/12/2023,7800,1594,1800,500,0
K40037,1,Kiambu,SUPA FAST,10000,7/13/2023,8/12/2023,13000,500,3000,500,0
K40038,1,Kiambu,SUPA FAST,6000,7/14/2023,8/13/2023,7800,1625,1800,500,0
K40039,1,Kiambu,SUPA FAST,5000,7/15/2023,8/14/2023,6000,6000,1000,500,0
K40039,2,Kiambu,SUPA FAST,5000,8/2/2023,9/1/2023,6500,0,1500,0,0
K40040,1,Kiambu,SUPA FAST,6000,7/17/2023,8/16/2023,7800,700,1800,500,0
K40041,1,Kiambu,SUPA FAST,10000,7/18/2023,8/17/2023,13000,900,300,500,0
K40042,1,Kiambu,SUPA FAST,10000,7/18/2023,8/17/2023,13000,2400,3000,500,0
K40043,1,Kiambu,SUPA FAST,5000,7/19/2023,8/18/2023,6500,3250,1500,500,0