Application ID,Loan No,Repaid Date,Mpesa Code,Amount,Balance
K4001,1,3/9/2023,RC91EH6W39,260,"7180"
K4001,1,3/10/2023,RCA7I8VSF7,260,"6920"
K4001,1,3/11/2023,RCB2KBKTZC,260,"6660"
K4001,1,3/13/2023,RCD5OPIE4Z,260,"6400"
K4001,1,3/14/2023,RCE1SEAJOL,260,"6140"
K4001,1,3/16/2023,RCG1YCDBT7,260,"5880"
K4001,1,3/21/2023,RCL7AXPOU5,780,"5100"
K4001,1,3/22/2023,RCM7DO9C5J,520,"4580"
K4001,1,3/23/2023,RCN5G2L48T,520,"4060"
K4001,1,3/24/2023,RCO1IS4PUB,260,3800
K4001,1,3/25/2023,RCP9MQB9N,260,"3800"
K4001,1,3/27/2023,RCR1PPB6IB,520,"3280"
K4001,1,3/28/2023,RCS5TS0DRD,260,"3020"
K4001,1,3/29/2023,RCT4W8APF4,260,"2760"
K4001,1,3/30/2023,RCU3ZAN2WL,260,"2500"
K4001,1,3/31/2023,RCV8296V2S,2500,0
K4001,2,4/11/2023,RDB3VL4F3T,1400,"6760"
K4001,2,5/2/2023,RE24J6ZUXG,100,"6660"
K4001,2,5/2/2023,RE27J7482R,100,"6560"
K4001,2,5/10/2023,REA16XEMGP,300,"6260"
K4001,2,5/17/2023,REH0QI0PGU,300,"5960"
k4002,1,3/17/2023,RCH51X2AVD,1700,"4400"
k4002,1,3/25/2023,RCP1LG4KFP,1625,"2775"
k4002,1,3/31/2023,RCV21Q94VQ,2775,0
k4002,2,4/7/2023,RD78NA5H0S,1625,"4875"
k4002,2,4/15/2023,RDF78JYQR3,1625,"3250"
k4002,2,4/28/2023,RDS5A5YOP7,3250,0
k4002,2,4/28/2023,RDS0A5WSDM,1,-1
k4002,3,5/7/2023,RE8719QP9R,1500,"6120"
k4002,3,5/24/2023,REO5BGF2LZ,6120,0
k4002,4,5/7/2023,RE8719QP9R2,1500,"6120"
k4002,4,5/24/2023,REO5BGF2LZ2,6120,0
k4002,5,7/17/2023,RGH7Q8FDX7,8220,0
K4003,1,3/17/2023,RCH1ZGG1P3,130,"3950"
K4003,1,3/18/2023,RCI42M536G,130,"3820"
K4003,1,3/20/2023,RCK87QQ1C6,130,"3690"
K4003,1,3/20/2023,RCK797Q0U5,130,"3560"
K4003,1,3/21/2023,RCL3CBWTBN,130,"3430"
K4003,1,3/22/2023,RCM7EJBX19,130,"3300"
K4003,1,3/23/2023,RCN9GOVHNX,130,"3170"
K4003,1,3/24/2023,RCO5JOL4MP,130,"3040"
K4003,1,3/25/2023,RCP5LV375X,130,"2910"
K4003,1,3/26/2023,RCQ2OFJ22K,130,"2780"
K4003,1,3/27/2023,RCR4RIQJH2,130,"2650"
K4003,1,3/28/2023,RCS4TNMCCQ,130,"2520"
K4003,1,3/29/2023,RCT9XADWA1,130,"2390"
K4003,1,3/30/2023,RCU912V15J,130,"2260"
K4003,1,3/31/2023,RCV73SKUWJ,130,"2130"
K4003,1,4/2/2023,RD298VRNUZ,130,"2000"
K4003,1,4/3/2023,RD379P0P5X,130,"1870"
K4003,1,4/4/2023,RD48CG5TOM,130,"1740"
K4003,1,4/5/2023,RD56HO1P8G,130,"1610"
K4003,1,4/12/2023,RDC7YASBIB,130,"1480"
K4003,1,4/12/2023,RDC4YAW2WE,130,"1350"
K4003,1,4/18/2023,RDI7GJQUKL,1170,180
K4003,1,4/18/2023,RDI0GPZ2K2,100,80
K4003,1,4/18/2023,RDI4GQ3ZEU,80,0
K4003,2,5/3/2023,RE30NTRMW2,600,"3300"
K4003,2,5/13/2023,RED3GXUA8V,300,"3000"
K4003,2,5/19/2023,REJ4VVGH9U,3000,0
K4004,1,3/22/2023,RCM3F662H7,900,"9980"
K4004,1,3/23/2023,RCN9HMISQ3,1700,"8280"
K4004,1,3/30/2023,RCU9XNP15R,900,"7380"
K4004,1,3/30/2023,RCU310YV39,1700,"5680"
K4004,1,4/6/2023,RD60KR02RE,2600,"3080"
K4004,1,4/14/2023,RDE94JQ0UF,1300,"1780"
K4004,1,4/14/2023,RDE658OULI,1300,480
K4004,1,4/14/2023,RDE55SD1D5,480,0
K4004,2,5/2/2023,RE21IZHLH3,1500,"9380"
K4004,2,5/15/2023,REF1KQ37N7,1500,"7880"
K4004,2,6/13/2023,RFD3X5KQLX,1000,"6880"
K4004,2,6/19/2023,RFJ3F97LU1,900,"5980"
K4004,2,6/25/2023,RFP2YHA40C,1000,"4980"
K4005,1,3/22/2023,RCM6ELPEDO,350,"6150"
K4005,1,3/25/2023,RCP2ML79TY,1270,"4880"
K4005,1,3/31/2023,RCV03U0FF2,450,"4430"
K4005,1,4/1/2023,RD176U0OHF,600,"3830"
K4005,1,4/2/2023,RD258ZRQ9P,584,"3246"
K4005,1,4/7/2023,RD75NKREQP,400,"2846"
K4005,1,4/9/2023,RD94SPVGAO,400,"2446"
K4005,1,4/12/2023,RDC0YTDM3E,2446,0
K4005,2,4/30/2023,RDU8FL0A02,200,"6600"
K4005,2,5/14/2023,REE6KEVUJW,200,"6400"
K4006,1,3/27/2023,RCR4S3D6NQ,2400,"10600"
K4006,1,3/31/2023,RCV629MFVC,850,"9750"
K4006,1,4/7/2023,RD72LJCPSW,3250,"6500"
K4006,1,4/18/2023,RDI3G47X5D,6500,0
K4006,2,5/20/2023,REK317OLV9,1300,"13300"
K4006,2,6/11/2023,RFB3TJS79V,1100,"12200"
K4006,2,5/22/2023,REM25JOO7S,700,"11500"
K4006,2,6/15/2023,RFF13MLIN9,600,"10900"
K4006,2,6/23/2023,RFN6Q3XRB6,500,"10400"
K4006,2,7/1/2023,RG14EP00LY,500,"9900"
K4007,1,3/27/2023,RCR7QLG5XV,1625,"5175"
K4007,1,4/4/2023,RD47CM8H67,1625,"3550"
K4007,1,4/24/2023,RDO7WBZSO7,3250,300
K4007,1,4/24/2023,RDO4WD2ORQ,300,0
K4008,1,3/28/2023,RCS2U9MF2E,1625,"5175"
K4008,1,4/5/2023,RD51FMRV5V,725,"4450"
K4008,1,4/11/2023,RDB9VYUISD,200,"4250"
K4008,1,4/11/2023,RDB9X4PH2N,700,"3550"
K4008,1,4/24/2023,RDO2X0U4GY,200,"3350"
K4008,1,4/26/2023,RDQ32RN457,800,"2550"
K4008,1,5/2/2023,RE26IV15LU,450,"2100"
K4008,1,5/2/2023,RE25JARZBX,200,"1900"
K4008,1,5/3/2023,RE39NVZ2BR,400,"1500"
K4008,1,5/5/2023,RE55TQX6R9,500,"1000"
K4008,1,5/10/2023,REG9OH2HTP,1000,0
K4008,1,5/10/2023,REG6OH81TC,100,-100
K4008,1,5/10/2023,REG5OQ2RKL,800,-900
K4009,1,3/28/2023,RCS6UHA63U,3250,"9750"
K4009,1,4/4/2023,RD43EVQD4F,3250,"6500"
K4009,1,4/12/2023,RDC31R1E2X,3250,"3250"
K4009,1,4/17/2023,RDH1DJT1DL,3250,0
K4009,2,4/29/2023,RDT8BA36YY,3250,"9750"
K4009,2,5/5/2023,RE53TKKJD7,3250,"6500"
K4009,2,5/9/2023,RE986B96KG,6500,0
K4009,3,6/8/2023,RF80IIJERO,3000,"10600"
K4009,3,6/12/2023,RFC2UY1TMQ,600,"10000"
K4009,3,6/8/2023,RF71GWM1TV,10000,0
K4009,4,7/14/2023,RGE3HSKFXZ,13000,600
K4009,4,7/15/2023,RGF1KK5HOZ,600,0
K40010,1,3/23/2023,RCN0GOJZJC,434,"13166"
K40010,1,3/24/2023,RCO0JL0IOS,434,"12732"
K40010,1,3/25/2023,RCP0MK75ZQ,434,"12298"
K40010,1,3/26/2023,RCQ1P0HU0T,434,"11864"
K40010,1,3/27/2023,RCR8RVG2LG,434,"11430"
K40010,1,3/28/2023,RCS7TU3O6Z,434,"10996"
K40010,1,3/31/2023,RCV52GBW27,434,"10562"
K40010,1,4/2/2023,RD208ECZKQ,868,"9694"
K40010,1,4/4/2023,RD48DTBCBM,434,"9260"
K40010,1,4/5/2023,RD57HTJ4O9,434,"8826"
K40010,1,4/7/2023,RD71NF209H,868,"7958"
K40010,1,4/8/2023,RD80Q0MO2Q,434,"7524"
K40010,1,4/9/2023,RD90RZVV5Q,868,"6656"
K40010,1,4/14/2023,RDE479U22Y,434,"6222"
K40010,1,4/15/2023,RDF79PKACV,434,"5788"
K40010,1,4/16/2023,RDG6CKP2F2,868,"4920"
K40010,1,4/20/2023,RDK4NRFF7C,434,"4486"
K40010,1,4/28/2023,RDS2A8TS1G,500,"3986"
K40010,1,4/29/2023,RDT1CO9X6H,500,"3486"
K40010,1,5/1/2023,RE13I8G82V,700,"2786"
K40010,1,5/2/2023,RE26KU0QGE,500,"2286"
K40010,1,5/4/2023,RE40QEGOT6,500,"1786"
K40010,1,5/7/2023,RE78YIJEFS,800,986
K40010,1,5/9/2023,RE925K2XHU,600,386
K40010,1,5/12/2023,REC1EUB85D,386,0
K40011,1,3/29/2023,RCT2W4QSIY,1650,"4425"
K40011,1,4/6/2023,RD65K8UH9V,900,"3525"
K40011,1,4/7/2023,RD78N1TF64,750,"2775"
K40011,1,4/9/2023,RD98SJ5D08,700,"2075"
K40011,1,4/10/2023,RDA2TPH3XK,2075,0
K40011,2,4/24/2023,RDO6XJ433O,3250,"10350"
K40011,2,4/29/2023,RDT4CQWROI,2000,"8350"
K40011,2,5/3/2023,RE39NMLHFB,1250,"7100"
K40011,2,5/8/2023,RE85365OKH,500,"6600"
K40011,2,5/13/2023,RED8FAYG3U,200,"6400"
K40011,2,5/15/2023,REF9MSWY3Z,300,"6100"
K40011,2,5/21/2023,REL52Y4NJ3,200,"5900"
K40011,2,6/1/2023,RF11X0KQRF,500,"5400"
K40011,2,6/14/2023,RFE7ZWANAR,100,"5300"
K40011,2,6/23/2023,RFN1R8BLP9,100,"5200"
K40011,2,6/26/2023,RFQ01NOW14,100,"5100"
K40011,2,6/27/2023,RFR54J3TJL,100,"5000"
K40011,2,7/3/2023,RG39K3HVJT,100,"4900"
K40012,1,4/25/2023,RDP2YP0NOQ,3000,"10600"
K40012,1,4/26/2023,RDQ53J5WPL,3000,"7600"
K40012,1,5/3/2023,RE30NHZVUE,3000,"4600"
K40012,1,5/6/2023,RE63U08EW9,3000,"1600"
K40012,1,6/13/2023,RFD7X5HM2X,500,"1100"
K40012,1,6/26/2023,RFQ513QFOV,500,600
K40013,1,5/5/2023,RE53R7GUAD,1000,"12600"
K40013,1,5/8/2023,RE8823PV84,4000,"8600"
K40013,1,5/15/2023,REF6M219D4,4000,"4600"
K40013,1,5/19/2023,REJ6X3SOK8,4000,600
K40014,1,4/7/2023,RD75NA2VAJ,1000,"5500"
K40014,1,4/9/2023,RD97QDBLER,625,"4875"
K40014,1,4/22/2023,RDM9S43KNL,4875,0
K40015,1,4/3/2023,RD329LVFK6,975,"2925"
K40015,1,4/10/2023,RDA9UDQHGR,975,"1950"
K40015,1,4/21/2023,RDL9OE9QOH,1950,0
K40015,2,5/10/2023,REA178EKQL,975,"2625"
K40015,2,5/18/2023,REI1SW91C9,1000,"1625"
K40015,2,5/19/2023,REJ1WPX2J5,1625,0
K40015,3,6/7/2023,RF74GK0GRK,2100,"1530"
K40015,3,6/8/2023,RF87II9JMV,1500,30
K40015,3,6/8/2023,RF83IK3Q0L,30,0
K40015,4,7/6/2023,RG66TCXRDW,1200,"4240"
K40015,4,7/6/2023,RG62V8X78U,1300,"2940"
K40015,4,7/8/2023,RG81ZPT7B9,2940,0
K40016,1,4/4/2023,RD48EVRARY,1625,"4875"
K40016,1,4/11/2023,RDB2XMXE96,1625,"3250"
K40016,1,4/13/2023,RDD52WDZD5,500,"2750"
K40016,1,4/13/2023,RDD239Z6TK,2750,0
K40016,2,4/21/2023,RDL0NXI362,1625,"4875"
K40016,2,4/13/2023,RDD239Z6TK2,650,"4225"
K40016,2,4/28/2023,RDS09OXQX0,975,"3250"
K40016,2,5/10/2023,REA3815UGX,3250,0
K40016,3,6/7/2023,RF79FJOILR,6500,0
K40016,4,7/11/2023,RGB396C8UD,6500,300
K40016,4,7/11/2023,RGB397IJ4V,300,0
K40016,5,7/26/2023,RGR3JAOFN7,250,"6250"
K40017,1,4/4/2023,RD49EKG8ND,975,"3105"
K40017,1,4/11/2023,RDB1XVJMND,975,"2130"
K40017,1,4/19/2023,RDJ7KG2PK9,975,"1155"
K40017,1,4/26/2023,RDQ446EAAU,975,180
K40018,1,4/5/2023,RD55HON1ZZ,3250,"9750"
K40018,1,4/13/2023,RDD02DVLZI,3500,"6250"
K40018,1,4/21/2023,RDL0ORA3NI,3500,"2750"
K40018,1,4/28/2023,RDS48A7MPW,2750,0
K40018,2,5/8/2023,RE84ZX9VLK,3250,"9750"
K40018,2,5/30/2023,REU7SE0C5D,9750,0
K40018,3,6/26/2023,RFQ3ZO52U7,13000,0
K40018,4,7/9/2023,RG975LG1VD,1500,"14100"
K40018,4,7/10/2023,RGA18IJBSH,700,"13400"
K40018,4,7/12/2023,RGC0DI8YFM,1500,"11900"
K40018,4,7/14/2023,RGE4I03A6C,2000,"9900"
K40018,4,7/14/2023,RGE3JRUVBP,1000,"8900"
K40018,4,7/24/2023,RGO9B8XCVJ,8900,0
K40019,1,4/17/2023,RDH3CYYNT1,3000,"10600"
K40019,1,5/3/2023,RE30L44TMA,3000,"7600"
K40019,1,5/3/2023,RE38NXK994,4000,"3600"
K40019,1,5/16/2023,REG9OOFVZP,2000,"1600"
K40019,1,5/16/2023,REG1OS7SGD,1600,0
K40020,1,4/8/2023,RD88PWVMGM,3250,"9750"
K40020,1,4/22/2023,RDM9SXX1SL,3250,"6500"
K40020,1,4/28/2023,RDS28QPDQE,6500,0
K40020,2,5/26/2023,REQ2HLK7NE,13000,0
K40020,3,6/23/2023,RFN3RKEOT9,13000,0
K40020,4,7/21/2023,RGL53F2JQF,13000,0
K40021,1,6/9/2023,RF90M7277K,500,"10380"
K40021,1,6/9/2023,RF92M863XU,1500,"8880"
K40021,1,6/9/2023,RF92M9J9IK,1000,"7880"
K40021,1,6/9/2023,RF96MCNE7S,2500,"5380"
K40021,1,6/13/2023,RFD3XGIN7L,600,"4780"
K40021,1,6/27/2023,RFR53JX56T,500,"4280"
K40021,1,7/28/2023,RGS5MEJSL1,300,"3980"
K40022,1,,,500,"13100"
K40023,1,4/22/2023,RDM4T3GIL2,1625,"5675"
K40023,1,5/8/2023,RE83ZYGZNP,1200,"4475"
K40023,1,5/15/2023,REF1KSORB1,1500,"2975"
K40023,1,5/30/2023,REU9RM8KRF,100,"2875"
K40023,1,6/7/2023,RF79FN1E97,200,"2675"
K40023,1,6/7/2023,RF83IJTFOX,600,"2075"
K40023,1,6/7/2023,RF80IKY260,100,"1975"
K40023,1,6/9/2023,RF98M39WMA,350,"1625"
K40023,1,6/10/2023,RFA7PHDTXP,200,"1425"
K40023,1,6/10/2023,RFA4PIG0PU,100,"1325"
K40023,1,6/12/2023,RFC2U5Q5HY,1325,0
K40024,1,6/10/2023,RFA4QK6V3I,260,"7540"
K40024,1,6/17/2023,RFH0ABVL3Y,250,"7290"
K40024,1,6/27/2023,RFR554RMI9,400,"6890"
K40024,1,6/29/2023,RFT89VOOY6,2000,"4890"
K40024,1,7/3/2023,RG34MW82RS,260,"4630"
K40024,1,7/4/2023,RG55Q44XSF,260,"4370"
K40024,1,7/7/2023,RG79YW71UZ,3500,870
K40024,1,7/8/2023,RG914E3LZJ,870,0
K40025,1,7/2/2023,RG20JK8ZHQ,300,"4420"
K40025,1,7/7/2023,RG75WLGX53,4420,0
K40026,1,6/28/2023,RFS17SVTZL,600,"5400"
K40026,1,6/29/2023,RFT08TE1SA,325,"5075"
K40026,1,6/30/2023,RFT6ATYTDG,700,"4375"
K40026,1,7/8/2023,RG87134GYT,750,"3625"
K40026,1,7/10/2023,RGA56YQHDT,3625,0
K40026,2,7/23/2023,RGN39W03F9,500,"6000"
K40026,2,7/25/2023,RGP7E6L03D,350,"5650"
K40027,1,6/29/2023,RFT3922BI1,600,"13000"
K40027,1,6/29/2023,RFT39E7XJV,2650,"10350"
K40027,1,7/20/2023,RGK1ZJMWZX,3950,"6400"
K40027,1,7/24/2023,RGO8CU3JBS,5500,900
K40027,1,7/26/2023,RGQ2GMC5C0,250,650
K40027,1,7/28/2023,RGS9MTJN5B,50,600
K40028,1,6/29/2023,RFT79C5RHR,2250,"10750"
K40028,1,7/11/2023,RGB8A2JUMU,1000,"9750"
K40028,1,7/17/2023,RGH0SKIMRK,1000,"8750"
K40028,1,7/20/2023,RGK2ZC2PRG,8750,0
K40029,1,6/23/2023,RFN3SGDUMJ,200,"6300"
K40029,1,6/26/2023,RFQ727HPE7,200,"6100"
K40029,1,6/27/2023,RFR55320X7,200,"5900"
K40029,1,7/3/2023,RG35MZ2L7D,200,"5700"
K40029,1,7/18/2023,RGI9VJ5C07,200,"5500"
K40029,1,7/21/2023,RGL931EZ1F,"5500",0
K40029,2,7/27/2023,RGR7JYKZVD,200,"6300"
K40029,2,7/28/2023,RGS1MTJW9Z,250,"6050"
K40029,2,8/3/2023,RH3546CM2T,200,"5850"
K40030,1,7/8/2023,RG87ZRYUIN,525,"5975"
K40030,1,7/11/2023,RGB99WGLEH,500,"5475"
K40030,1,7/14/2023,RGE9HFQU0V,450,"5025"
K40030,1,7/19/2023,RGJ7X7X2NT,700,"4325"
K40030,1,7/25/2023,RGP0DR8C9G,4325,0
K40030,2,8/3/2023,RH3754RMOP,425,"6075"
K40031,1,7/27/2023,RGR2JTYM7G,500,"6600"
K40032,1,7/8/2023,RG8810L7FE,5800,0
K40033,1,7/16/2023,RGG3PPH6GJ,400,"7400"
K40033,1,7/20/2023,RGK1YA5PKR,200,"7200"
K40033,1,7/25/2023,RGP0E4ZO5S,100,"7100"
K40033,1,7/25/2023,RGP8E53CTK,100,"7000"
K40033,1,7/28/2023,RGS6M0IF7Y,200,"6800"
K40034,1,7/16/2023,RGG6PPIKJO,2,"7798"
K40034,1,7/17/2023,RGH8PPN5VO,220,"7578"
K40034,1,7/24/2023,RGO4CY30YG,500,"7078"
K40035,1,7/12/2023,RGC1E6LMGR,220,"6280"
K40035,1,7/21/2023,RGL52S8IQX,150,"6130"
K40035,1,7/24/2023,RGO2AV1GOU,200,"5930"
K40035,1,7/26/2023,RGQ7GTI581,200,"5730"
K40035,1,7/28/2023,RGS4LZZ2XS,300,"5430"
K40036,1,7/15/2023,RGF9KAG88R,300,"7500"
K40036,1,7/15/2023,RGF4N35NM8,134,"7366"
K40036,1,7/16/2023,RGG1PP41CT,220,"7146"
K40036,1,7/18/2023,RGI9VJ798F,250,"6896"
K40036,1,7/27/2023,RGR4JUTSPS,190,"6706"
K40037,1,7/25/2023,RGQ2FYAA44,500,"12500"
K40038,1,7/25/2023,RGP7DMOK8P,1000,"6800"
K40038,1,8/2/2023,RH26294KN8,225,"6575"
K40038,1,8/3/2023,RH3252MBPC,400,"6175"
K40039,1,7/24/2023,RGO7A7M7MJ,1625,"4375"
K40039,1,7/28/2023,RGS8MUZP8I,400,"3975"
K40039,1,7/30/2023,RGU1U6KA2N,1500,"2475"
K40039,1,8/2/2023,RH202P0Z8K,2475,0
K40040,1,7/21/2023,RGL92RNIZT,250,"7550"
K40040,1,7/26/2023,RGQ1GIICWP,250,"7300"
K40040,1,7/27/2023,RGR5K4H6LR,200,"7100"
K40041,1,7/26/2023,RGQ1H5R77N,900,"12100"
K40042,1,8/2/23,RH2743G75R,240,"12760"
K40042,1,8/1/23,RH1213SYM4,300,"12460"
K40042,1,7/31/2023,RGV0X5236Q,330,"12130"
K40042,1,7/31/2023,RGV5UFHZRB,400,"11730"
K40042,1,7/28/2023,RGS3OI5G9V,300,"11430"
K40042,1,7/28/2023,RGS3MRHRYV,330,"11100"
K40042,1,7/27/2023,RGR8K10WWS,350,"10750"
K40042,1,7/27/2023,RGR2K0LYBQ,150,"10600"
K40043,1,7/26/2023,RGQ0GKIOPM,950,"5550"
K40043,1,7/26/2023,RGQ3IKLAB3,675,"4875"
K40043,1,8/2/2023,RH26212MV8,600,"4275"
K40043,1,8/3/2023,RH324ANE5G,1025,"3250"